Label	Replace by
He, Y.-L.	He, Y.-L.
Heckl, I.	Heckl, I.
Heckl, I.	Heckl, I.
Heckl, István	Heckl, I.
Heckl, István	Heckl, I.
Hemmati, S.	Hemmati, S.
Hemmati, S.	Hemmati, S.
Hennen, M	Hennen, M.
Hennen, M.	Hennen, M.
Hennen, Maike	Hennen, M.
Heo, SungKy	Heo, S.
Ho, C.S.	Ho, C.S.
Ho, W.S.	Ho, W.S.
Hohn, Keith L.	Hohn, K.L.
Holló, C.	Holló, C.
Holló, Csaba	Holló, C.
Hong, B.H.	Hong, B.H.
How, B.S.	How, B.S.
How, B.S.	How, B.S.
How, Bing Shen	How, B.S.
How, Bing Shen	How, B.S.
Hu, Yicheng	Hu, Y.
Huang, Y. W.	Huang, Y.W.
Huang, Y.W.	Huang, Y.W.
Hungarian Fuzzy Association	Hungarian Fuzzy Association
Hwangbo, S.	Hwangbo, S.
Ibrahim, Liyana Nik	Ibrahim, N.N.L.N.
Ibrahim, N.N.L.N.	Ibrahim, N.N.L.N.
Ibrahim, NNLN	Ibrahim, N.N.L.N.
Institute of Control, Automation and Systems Engineers (ICASE)	ICASE
IEEE Joint Chapter of IES and RAS	IEEE
IEEE SMC Chapter	IEEE
IEEE Systems, Men, and Cybernetics Society	IEEE
Ifaei, Pouya	Ifaei, P.
Imreh, Balázs	Imreh, B.
Imreh, C.	Imreh, C.
Imreh, Csanad	Imreh, C.
Ivicz, T.	Ivicz, T.
Jamalova, Zulfiya	Jamalova, Z.
Janairo, C M J	Janairo, C.M.J.
Janairo, C.M.J.	Janairo, C.M.J.
Jennings, M.	Jennings, M.
Jia, X	Jia, X.
Jia, X.	Jia, X.
Kalauz, K.	Kalauz, K.
Kalauz, K.	Kalauz, K.
Kaldybayeva, B.M.	Kaldybayeva, B.M.
Kalotai, Levente	Kalotai, L.
Kenzhebekov, Doskhan	Kenzhebekov, D.
Kenyeres, István	Kenyeres, I.
Kett, K.-H.	Kett, K.-H.
Kettl, Karl Heinz	Kett, K.-H.
Kettl, Karl Heinz K.-H.	Kett, K.-H.
Kim, T.Y.	Kim, T.Y.
Kim, Y.	Kim, T.Y.
Kim, Y.	Kim, T.Y.
Kim, Young	Kim, T.Y.
Kirschbaum, S	Kirschbaum, S.
Klaffke, C.	Klaffke, C.
Klaffke, Carsten	Klaffke, C.
Klemes, J.	Klemeš, J.J.
Klemeš, J.	Klemeš, J.J.
Klemeš, J.	Klemeš, J.J.
Klemes, J.J.	Klemeš, J.J.
Klemeš, J.J.	Klemeš, J.J.
Klemeš, J.J.	Klemeš, J.J.
Klemeš, Jiøí Jaromír	Klemeš, J.J.
Klemes, JJ	Klemeš, J.J.
KnaufInsulation	KnaufInsulation
Kollmann, René	Kollmann, R.
Konig, E.	Konig, E.
Konig, Eva	Konig, E.
Kovács, T.	Kovács, T.
Kovacs, Z	Kovács, Z.
Kovacs, Z.	Kovács, Z.
Kovacs, Z.	Kovács, Z.
Kovács, Z.	Kovács, Z.
Kovács, Zoltan	Kovács, Z.
Kravanja, Z.	Kravanja, Z.
Kretschmer, Florian	Kretschmer, F.
Kuznetsov, M.	Kuznetsov, M.
Lakner, R.	Lakner, R.
Lakner, Rozália	Lakner, R.
Lam, H.	Lam, H.L.
Lam, H. L.	Lam, H.L.
Lam, H.L.	Lam, H.L.
Lam, H.L.	Lam, H.L.
Lam, HL	Lam, H.L.
Lam, Hon Loong	Lam, H.L.
Lam, Hon Loong	Lam, H.L.
Lao, A.R.	Lao, A.R.
Lao, Angelyn R.	Lao, A.R.
Lawrence, Kelvin Kuhanraj	Lawrence, K.K.
LCY Chemical Industry Corporation	LCY
Lee, C.H.	Lee, C.H.
Lee, C.H.	Lee, C.H.
Lee, C.T.	Lee, C.T.
Lee, Chew Tin	Lee, C.T.
Lee, D Y	Lee, D.-Y.
Lee, D.-Y.	Lee, D.-Y.
Lee, D.-Y.	Lee, D.-Y.
Lee, J.-Y.	Lee, J.-Y.
Lee, JY	Lee, J.-Y.
Lee, S	Lee, S.Y.
Lee, S Y	Lee, S.Y.
Lee, S.	Lee, S.Y.
Lee, S.Y.	Lee, S.Y.
Leong, W.D.	Leong, W.D.
Li, Jianwei	Li, J.
Li, Z.	Li, Z.
Liang, YT	Liang, Y.T.
Liew, P.Y.	Liew, P.Y.
Lim, C.H.	Lim, C.H.
Lim, C.H.	Lim, C.H.
Lim, J.S.	Lim, J.S.
Lim, J.Y.	Lim, J.Y.
Lim, J.Y.	Lim, J.Y.
Lim, Juin Yau	Lim, J.Y.
Lim, Pek Peng	Lim, P.P.
Lin, K.-P.	Lin, K.-P.
Lin, T.-Y.	Lin, T.-Y.
Lin, Y.-C.	Lin, Y.-C.
Lin, Y.-C.	Lin, Y.-C.
Lin, Yu-Chuan	Lin, Y.-C.
Ling, G.H.T.	Ling, G.H.T.
Liu, J	Liu, J.
Liu, J	Liu, J.
Liu, J.	Liu, J.
Liu, Jiahong	Liu, J.
Liu, Jiahong	Liu, J.
Liu, X	Liu, X.
Lo, S.L.Y.	Lo, S.L.Y.
Lollini, P.	Lollini, P.
Losada, J.P.	Losada, J.P.
Low, C.X.	Low, C.X.
Lucas, R.I.G.	Lucas, R.I.G.
Lü, J.	Lü, J.
Ma, Y.	Ma, Y.
Madria, V.R.	Madria, V.R.
Mah, A.X.Y.	Mah, A.X.Y.
Maier, Stephan	Maier, S.
Maier, Stephan	Maier, S.
Manan, Z.A.	Manan, Z.A.
Marfori, I.A.V., III	Marfori, I.A.V.
Martín, Mariano	Martín, M.
Martinez-Valencia, L.	Martinez-Valencia, A.L.
Martín-Hernández, Edgar	Martín-Hernández, E.
Máša, V.	Máša, V.
Mayol, A.P.	Mayol, A.P.
Mencarelli, L	Mencarelli, L.
Migo-Sumagang, Maria Victoria	Migo-Sumagang, M.V.
Miranda-Pérez, J.	Miranda-Pérez, J.
Mizsey, P.	Mizsey, P.
Montecchi, L.	Montecchi, L.
Ministry of Science and Technology (MOST)	MOSTTaiwan
Mu, P.	Mu, P.
Mu, P.	Mu, P.
Mu, Peng	Mu, P.
Muis, Z.A.	Muis, Z.A.
Nagy, A	Nagy, AB.
Nagy, A B	Nagy, AB.
Nagy, A.	Nagy, AB.
Nagy, A. B.	Nagy, AB.
Nagy, Zs.	Nagy, Zs.
Narodoslawsky, M.	Narodoslawsky, M.
Narodoslawsky, Michael	Narodoslawsky, M.
Neale, J.R.	Neale, J.R.
Nemes, T	Nemes, T.
Nemet, A.	Nemet, A.
Netolický, M.	Netolický, M.
Neugebauer, Georg	Neugebauer, G.
Ng, R.T.L.	Ng, R.T.L.
Ng, W.P.Q.	Ng, W.P.Q.
Ng, W.Y.	Ng, W.Y.
Ngan, S.L.	Ngan, S.L.
Niemetz, N	Niemetz, N.
Niemetz, Nora	Niemetz, N.
Okusa, J.	Okusa, J.
Olti, F.	Olti, F.
Ondruška, V.	Ondruška, V.
Ong, B.H.Y.	Ong, B.H.Y.
Ong, B.H.Y.	Ong, B.H.Y.
Ong, I.Y.B.	Ong, I.Y.B.
Ong, W.J.	Ong, W.J.
Orosz, A	Orosz, Á.
Orosz, A.	Orosz, Á.
Orosz, Á.	Orosz, Á.
Orosz, Á.	Orosz, Á.
Orosz, Ákos	Orosz, Á.
Orosz, Ákos	Orosz, Á.
Pagot, A	Pagot, A.
Pang, C.H.	Pang, C.H.
Park, S.	Park, S.
Park, S.B.	Park, S.B.
Park, Sunwon Seung Bin	Park, S.B.
Pereira, P.S.	Pereira, P.S.
Perry, Simon	Perry, S.
Philipp, M	Philipp, M.
Philipp, M.	Philipp, M.
Pierucci, S.	Pierucci, S.
Pimentel, J.	Pimentel, J.
Pimentel, J.	Pimentel, J.
Pimentel, Jean	Pimentel, J.
Pimentel, Jean	Pimentel, J.
Pimentel Losada, Jean	Pimentel, J.
Pinheiro Pires, A.P.	Pinheiro-Pires, A.P.
Polgár, B.	Polgár, B.
Polgár, Balázs	Polgár, B.
Pongrácz, Ferenc	Pongrácz, F.
Poon, Marcus Chinn Yoong	Poon, M.C.Y.
Povoden, G.	Povoden, G.
Premogovnik	Premogovnik
Promentilla, M.A.B.	Promentilla, M.A.B.
Promentilla, M.A.B.	Promentilla, M.A.B.
Promentilla, Michael Angelo B.	Promentilla, M.A.B.
Putra, Z.A.	Putra, Z.A.
Razon, L.F.	Razon, L.F.
Rhee, G.	Rhee, G.
Roco, Joshua Bon A.	Roco, J.B.A.
Rodríguez, G.	Rodríguez, G.
Ruiz-Mercado, Gerardo J.	Ruiz-Mercado, G.J.
Safder, Usman	Safder, U.
Sandor, Nora	Sandor, N.
Sandorz, N	Sandor, N.
Sang, Y.L.	Sang, Y.L.
Sangalang, K.P.H.	Sangalang, K.P.H.
Sangalang, K.P.H.	Sangalang, K.P.H.
Sani, N. S.	Sani, N.S.
Sani, NS	Sani, N.S.
Santos, J.R.	Santos, J.R.
Schlup, J.R.	Santos, J.R.
Schlup, John R.	Schlup, J.R.
Seib, P	Seib, P.A.
Seib, P. A.	Seib, P.A.
Seib, P.A.	Seib, P.A.
Seib, Paul A.	Seib, P.A.
Sejpes, Zoltán	Sejpes, Z.
Selényi, E.	Selényi, E.
Selényi, Endre	Selényi, E.
Seo, H	Seo, H.
Seo, H.	Seo, H.
Shafie, S	Shafie, S.
Shafie, S.	Shafie, S.
Shah, N.	Shah, N.
Shahzad, Khurram	Shahzad, K.
Shen, Margaret	Shen, M.
Shum, C.K.	Shum, C.K.
